Location_Name,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,Phone,URL,Vaccine_type,Booking_walk,Days,Blank,Age,
Birchmount Pharmasave,Pharmacy,"462 Birchmount Road, Scarborough, ON",Scarborough,Ontario,M1K 1N8,CA,43.7069465,-79.2687238,416-698-1616,,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 9 a.m. to 4 p.m.
Sunday: 10 a.m. to 1 p.m.",-,40+,"Monday - Friday: 9 a.m. to 5 p.m.
Saturday: 9 a.m. to 3 p.m."
Costco Pharmacy,Pharmacy,"1411 Warden Avenue, Scarborough, ON",Scarborough,Ontario,M1R 2S3,CA,43.7594111,-79.2976102,416-288-1172,b.telehippo.com/o/w537,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 8:30 p.m.
Saturday - Sunday: 9 a.m. to 6 p.m.",-,40+,Also add other info section
Drugstore Pharmacy,Pharmacy,"70 Island Road, Scarborough, ON",Scarborough,Ontario,M1C 2P5,CA,43.7982135,-79.1412713,,nofrills.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Food Basics Pharmacy,Pharmacy,"1571 Sandhurst Circle, Scarborough, ON",Scarborough,Ontario,M1V 1V2,CA,43.8092547,-79.2696046,,metropharmacy.medmeapp.com/schedule,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 8 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
FreshCo Pharmacy Gerrard & Victoria,Pharmacy,"2490 Gerrard Street East, Scarborough, ON",Scarborough,Ontario,M1N 1W8,CA,43.6878079,-79.2848414,416-698-2060,www.pharmacyappointments.ca/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
FreshCo Pharmacy Lawrence/Midland,Pharmacy,"2650 Lawrence Avenue East, Scarborough, ON",Scarborough,Ontario,M1P 2S1,CA,43.752733,-79.264041,416-755-4184,www.pharmacyappointments.ca/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Health Check Pharmacy Pharmasave,Pharmacy,"2826A Markham Road, Scarborough, ON",Scarborough,Ontario,M1X 1E6,CA,43.8229959,-79.2485509,416-298-8165,,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9:30 a.m. to 8 p.m.
Saturday: 9:30 a.m. to 4 p.m.",-,40+,
Health Corner Pharmacy,Pharmacy,"2167 Victoria Park Avenue, Unit 3, Scarborough",Scarborough,Ontario,M1R 1V5,CA,43.758913,-79.3150402,416-384-0707,,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7:30 p.m.
Saturday: 10 a.m. to 5 p.m.
Sunday: closed",-,40+,
HealthSmart Pharmasave,Pharmacy,"2425 Eglinton Avenue East, Unit 10, Scarborough",Scarborough,Ontario,M1K 5G8,CA,43.7320812,-79.2672493,416-759-0000,www.healthsmartpharmasave.com/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 9 a.m. to 5 p.m.",-,40+,
Kennedy Road Pharmacy,Pharmacy,"2 Antrim Crescent, Unit 4, Scarborough, ON",Scarborough,Ontario,M1P 2N3,CA,43.7719194,-79.2840048,416-298-2222,idapharmacytoronto.ca/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 10 a.m. to 7 p.m.
Saturday: 10 a.m. to 3 p.m.",-,40+,
Lawrence Pharmacy,Pharmacy,"2683 Lawrence Avenue East, Scarborough, ON",Scarborough,Ontario,M1P 2S2,CA,43.7517056,-79.2615008,416-750-4691,www.remedys.ca/en/ontario/scarborough/lawrence-pharmacy-7016574,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9:30 a.m. to 6 p.m.
Saturday: 9:30 a.m. to 4 p.m.",-,40+,
Markham Corners Pharmacy,Pharmacy,"5113 Sheppard Avenue East, Scarborough, ON",Scarborough,Ontario,M1S 4N8,CA,43.79257,-79.2391289,647-349-9393,www.markhamcornersmedical.ca/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 9 a.m. to 3 p.m.",-,40+,
Medical Pharmacy,Pharmacy,"1333 Neilson Road, Unit 110, Scarborough, ON",Scarborough,Ontario,M1B 4Y9,CA,43.8084303,-79.2196494,416-282-5705,scarboroughmp.medmeapp.com/schedule/,AstraZeneca,Appoinment/Booking,"Sunday: 9 a.m. to 1 p.m.
Monday - Thursday: 7 a.m. to 7 p.m.
Friday: 7 a.m. to 6 p.m.
Saturday: 8 a.m. to 1 p.m.",-,40+,
Nofrills,Pharmacy,"1450 Lawrence Avenue East, Scarborough, ON",Scarborough,Ontario,M4A 2S8,CA,43.7424568,-79.3108174,416-752-0135,www.nofrills.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
